id,name,stop_type,stop_code,location_id,latitude,longitude,zone_id,zone_code
53,Modivas Norte,METRO,MONOR_1,a6b3c261-3984-4e05-96ae-7f2f0228684a,41.30049,-8.704004,19,VCD8
54,Modivas Sul,METRO,MOSUL_1,eb03ee1b-67a6-4d19-a395-0717e37fa341,41.28525,-8.693703,19,VCD8
55,Nasoni,METRO,NASON_1,1d60c560-e7d7-4978-90cd-027c8a749021,41.17077,-8.577317,14,PRT3
56,Nau VitÃ³ria,METRO,NAVIT_1,33f10df7-47db-4ab1-bd94-c5ff1dba1fde,41.17412,-8.573534,14,PRT3
57,Parque Maia,METRO,PAMAI_1,51db2861-e149-40ad-843d-5f2b08ed4917,41.22902,-8.626897,5,MAI1
58,Parque de Real,METRO,PAREA_1,82cfb326-7b13-4424-a423-9b645b93a002,41.17911,-8.673546,9,MTS1
59,Pedras Rubras,METRO,PERUB_1,f31fab14-909f-4af4-91a4-34a257ef3f84,41.24623,-8.661807,19,VCD8
60,Pedro Hispano,METRO,PEHIS_1,d5c88875-cc57-4b22-8c58-d51f75550c65,41.18038,-8.666232,9,MTS1
61,Pias,METRO,PIAS_1,9451018f-7f19-4549-b929-2d0384e497ff,41.20823,-8.647122,5,MAI1
62,Portas Fronhas,METRO,POFRO_1,2ec466e8-3cff-4c02-806a-694c1f9192f9,41.36895,-8.749558,15,PV_VC
63,PÃ³lo UniversitÃ¡rio,METRO,POUNI_1,8f2d9cc9-3af5-49a9-a7df-546a8bf71cc7,41.17425,-8.603607,14,PRT3
64,PÃ³voa de Varzim,METRO,POVAR_1,9dc023c9-9c92-436a-8005-3d728dc246a4,41.37812,-8.758081,15,PV_VC
65,Ramalde,METRO,RAMAL_1,1057b0b3-fe5a-4888-8fca-8015afff862c,41.17296,-8.641766,13,PRT2
66,Rio Tinto,METRO,RITIN_M_1,402ab51d-0de5-4950-b6a4-20ebfea23ecb,41.17942,-8.560264,8,MAI4
67,Salgueiros,METRO,SALGU_1,11eb19d2-450b-46e5-bbb4-c7616bb05f97,41.16969,-8.598744,12,PRT1
68,Santa Clara,METRO,SACLA_1,986cf4f8-2062-4da3-a73d-7f7e0e32489b,41.35398,-8.735826,15,PV_VC
69,Santo OvÃ­dio,METRO,SAOVI_1,4b623959-cd21-460e-8e64-259b0842cfcc,41.11555,-8.606555,23,VNG1
70,Senhor de Matosinhos,METRO,SEMAT_1,68227727-9cc1-44ca-8ffa-79d3ff952140,41.18821,-8.685123,9,MTS1
71,Senhora da Hora,METRO,SEHOR_1,420d95a5-6674-4d0f-b086-7333946d3f1c,41.1881,-8.654466,13,PRT2
72,Sete Bicas,METRO,SEBIC_1,0f201e92-c7b7-45fc-9011-500240cea755,41.18242,-8.652149,13,PRT2
73,SÃ£o Bento,METRO,BENTO_M_1,317c28ba-2364-4060-ba73-ef2f31bdb292,41.14494,-8.610815,12,PRT1
74,SÃ£o BrÃ¡s,METRO,BRAS_1,33540425-f8fa-4f96-b04b-92901daf28b6,41.37346,-8.754122,15,PV_VC
75,Trindade,METRO,TRIND_1,403688e8-5446-4e51-9a1f-46954eadd69d,41.15228,-8.609299,12,PRT1
76,Varziela,METRO,VARZI_1,add86388-82bd-488a-852c-ef6540518634,41.33422,-8.720721,18,VCD3
77,Vasco da Gama,METRO,VAGAM_1,1d604e41-b295-4ff0-8372-b053c3a81725,41.19024,-8.661037,9,MTS1
78,Venda Nova,METRO,VENOV_1,c4ff348d-1dc0-4779-b26e-1889ebe62e47,41.17516,-8.541962,3,GDM1
79,Verdes,METRO,VERDE_1,9a0bbd5e-a2cf-4dac-b5af-f2211274dabb,41.23825,-8.658212,19,VCD8
80,Vila d'Este,METRO,VIEST_1,9903a7fc-5f83-41b3-a2d4-9749533e540d,41.09872,-8.588716,24,VNG2
81,Vila do Conde,METRO,VICON_1,1a8c7430-0fe8-4245-8a0a-e2ffede96dcc,41.3591,-8.73987,15,PV_VC
82,Vilar do Pinheiro,METRO,VIPIN_1,02d3ae21-3969-4a53-9d3c-bcaadcecf10e,41.2703,-8.679515,19,VCD8
83,Viso,METRO,VISO_1,06f6113b-9b1f-4daa-9f4e-8839c88637db,41.17725,-8.646498,13,PRT2
84,Zona IndÃºstrial,METRO,ZOIND_1,9033a761-64a6-43d6-806f-b6004d1d141d,41.24397,-8.628555,6,MAI2
85,Ãrvore,METRO,ARVOR_1,723a4d48-5216-48f7-8fa2-85e84b55ec7f,41.3404,-8.725555,18,VCD3
86,Porto - SÃ£o Bento,TRAIN,BENTO_T_1,cf2613e8-5617-4091-bbc4-19c9477e177b,41.145672,-8.610489,12,PRT1
87,Porto - CampanhÃ£,TRAIN,CAMPA_T_1,61e18dc2-729a-4b41-a13c-d9e86b2b7f8c,41.149481,-8.585147,12,PRT1
88,General Torres,TRAIN,GETOR_T_1,55dc05e3-2188-468a-aefc-e1f831afbe10,41.133099,-8.609227,23,VNG1
89,Vila Nova de Gaia - Devesas,TRAIN,VNGD_1,a8b989e5-9c24-4aab-839f-680fb8e5df32,41.130204,-8.620078,23,VNG1
90,CoimbrÃµes,TRAIN,COIMB_4,4208efbb-a420-4943-976a-70d0f8a16c24,41.121633,-8.624408,24,VNG2
91,Madalena (CP),TRAIN,MADAL_5,4f0ac8de-dc0a-45b3-86fe-627ae5040466,41.105441,-8.650432,25,VNG3
92,Valadares (CP),TRAIN,VALAD_4,ba3a84d8-51ee-4d17-91af-3a37febad556,41.087561,-8.647522,25,VNG3
93,Francelos,TRAIN,FRANC_T_1,115d47bf-0e3d-4e05-8e2f-14df53501fa8,41.075003,-8.650167,25,VNG3
94,Miramar,TRAIN,MIRAM_1,c1013f45-68e5-4d0d-9470-0fa3a98a874d,41.063988,-8.644301,26,VNG4
95,Aguda,TRAIN,AGUDA_1,806194e7-39e4-479a-a889-3fcb4d81bed5,41.048878,-8.650008,26,VNG4
96,Granja,TRAIN,GRANJ_1,58ef62ee-5005-4ca8-b06f-5e2c332376fd,41.023475,-8.649333,27,VNG5
97,Espinho,TRAIN,ESPIN_2,238b25f1-ea2c-4350-841a-faf3d135bbcd,41.006318,-8.644306,1,ESP1
98,Silvalde,TRAIN,SILVA_1,c0c6f52e-75a1-4daa-91fc-e4ccccb8f9c0,40.985229,-8.642236,1,ESP1
99,Paramos,TRAIN,PARAM_1,2b486189-f89b-4a34-acb0-2b58de8aa231,40.969213,-8.639504,2,ESP2
100,Esmoriz,TRAIN,ESMOR_1,f35effb9-f983-4576-8ba6-4d4c87b84cf5,40.958322,-8.636216,28,OUT
101,CortegaÃ§a,TRAIN,CORTE_1,5925f13b-1100-444a-9a27-3a2f2c2f561e,40.932211,-8.639536,28,OUT
102,Carvalheira-Maceda,TRAIN,CAMAC_1,9988d5dd-78b1-4ad2-acec-7fbbb01821e2,40.901948,-8.635923,28,OUT
103,Ovar,TRAIN,OVAR_1,c6f174d2-2e18-449c-9c78-3c365734b0b5,40.858417,-8.627603,28,OUT
104,VÃ¡lega,TRAIN,VALEG_1,d2c47016-d7bf-45ea-9ab2-41316b5484d4,40.819545,-8.621248,28,OUT
105,Avanca,TRAIN,AVANC_1,17853b8a-99b3-47dc-95d2-55240a289c95,40.802551,-8.608824,28,OUT
106,Estarreja,TRAIN,ESTAR_1,6a666cab-6bc2-4374-8ae6-ed81ec957a26,40.757518,-8.575103,28,OUT
107,Salreu,TRAIN,SALRE_1,ce194cb0-cd21-4746-ba1f-f9fe30537ad9,40.733345,-8.558812,28,OUT
108,Canelas (CP),TRAIN,CANEL_1,3c10c595-d4e3-4055-9398-c9e2a79d81ae,40.716745,-8.550017,28,OUT
109,Cacia,TRAIN,CACIA_1,52ae24f6-7206-44e3-94a9-41d7de8b074e,40.692551,-8.603835,28,OUT
110,Aveiro,TRAIN,AVEIR_1,43af63dc-94c6-4022-9dc4-f822f4a39efc,40.643499,-8.6535,28,OUT
111,Contumil,TRAIN,CONTU_T_1,0646bdf5-184f-4c5a-a848-ef3ea4b7bf22,41.160124,-8.579841,14,PRT3
112,Rio Tinto (CP),TRAIN,RITIN_T_1,1d9a1392-7c76-470c-a32b-e67ca982103f,41.17685,-8.558288,3,GDM1
113,Ãguas Santas-Palmilheira,TRAIN,AGSPA_1,2e9a09b0-e428-4f29-9dd0-ea9858fa459e,41.207084,-8.560113,7,MAI3
114,Ermesinde,TRAIN,ERMES_5,f4d72358-9fb3-4484-a3a0-04d58b287006,41.216173,-8.552855,20,VLG1
115,Travagem,TRAIN,TRAVA_2,b60b072c-e6ef-4530-8fba-77c619d86b4e,41.225811,-8.535672,21,VLG2
116,CabÃªda,TRAIN,CABED_2,54c279a4-4435-4bef-aad9-55c770c6139c,41.235221,-8.527003,21,VLG2
117,SuzÃ£o,TRAIN,SUZAO_1,150f79ab-fb05-4655-866d-f06a01df471c,41.250833,-8.522422,21,VLG2
118,SÃ£o RomÃ£o,TRAIN,ROMAO_1,ac065903-2d2b-4eae-8d11-009a9cef8b44,41.336844,-8.580132,17,TRF1
119,Portela,TRAIN,PORTE_2,3588784d-33da-467b-83dc-7bac56685cca,41.348512,-8.564011,17,TRF1
120,Trofa,TRAIN,TROFA_1,5b93c875-2960-4d57-aa20-d8c9dfcb6ee3,41.340782,-8.55983,17,TRF1
121,Lousado,TRAIN,LOUSA_1,b5bce1cd-cbfb-4334-91c9-1c79b5489015,41.400749,-8.550334,28,OUT
122,Esmeriz,TRAIN,ESMER_1,baf5610e-dce7-43f5-b72b-76512801b7c8,41.41873,-8.550511,28,OUT
123,Barrimau,TRAIN,BARRI_1,f3addbb3-7429-4b88-a343-945520044447,41.428951,-8.548881,28,OUT
124,Mouquim,TRAIN,MOUQU_1,fdf701ec-f07e-4882-8fa6-510e555d663e,41.434022,-8.547711,28,OUT
125,FamalicÃ£o,TRAIN,FAMAL_1,15cb0c64-f52c-4863-b72b-9d13d074317c,41.404119,-8.519531,28,OUT
126,Louro,TRAIN,LOURO_1,54f930ac-8ab7-4f6f-bb90-53ef0693689f,41.413011,-8.500103,28,OUT
127,Nine,TRAIN,NINE_1,22b32b59-14eb-4773-a09c-12064ca3186a,41.451238,-8.475889,28,OUT
128,Couto de Cambeses,TRAIN,COCAM_1,2d8fbe44-9820-4d60-bae1-4c95cfcfa6ef,41.483122,-8.490551,28,OUT
129,Aveleda,TRAIN,AVELE_1,bcf2e8b3-cfea-49aa-9606-17e80bb9c1c1,41.499003,-8.488221,28,OUT
130,Ferreiros,TRAIN,FERRE_1,c28183c6-e091-4c70-a79c-32a586cfa6a8,41.514881,-8.475311,28,OUT
131,MazagÃ£o,TRAIN,MAZAG_1,c7ae2f6b-d50d-4eae-accd-da3bb75768f8,41.524009,-8.466001,28,OUT
132,Tadim,TRAIN,TADIM_1,0bc45acd-c95b-4da4-b85a-916516657cee,41.531511,-8.460012,28,OUT
133,Ruilhe,TRAIN,RUILH_1,f03357e7-7d18-45c6-b694-18a8217c0e05,41.534221,-8.455188,28,OUT
134,Arentim,TRAIN,ARENT_1,f1717b01-1a25-4f9f-ab80-b7756727f25d,41.543099,-8.450118,28,OUT
135,Maximinos,TRAIN,MAXIM_1,f5ae98b8-8488-4cb4-a217-d19377f4777b,41.547811,-8.439501,28,OUT
136,Frossos,TRAIN,FROSS_1,68981002-d7a9-4243-8f6b-525627ca2fc5,41.551322,-8.434128,28,OUT
137,Lomar,TRAIN,LOMAR_1,0215dd8e-5fe0-4299-a736-9dd40cf965f3,41.539711,-8.430591,28,OUT
138,FraiÃ£o,TRAIN,FRAIA_1,fd1d28e4-7826-41a6-9be8-90db6965cf2e,41.544011,-8.426009,28,OUT
139,Braga,TRAIN,BRAGA_1,5b62b057-3ec8-463e-8598-a8244e50a78a,41.549712,-8.434658,28,OUT
140,CaniÃ§os,TRAIN,CANIC_1,eb88bee8-158c-436c-b9af-cb6c0830d482,41.408998,-8.530502,28,OUT
141,Santo Tirso,TRAIN,SATIR_1,aa8b330d-4761-45dd-99cf-2e4f75ea3cb5,41.3433,-8.480912,16,STZ1
142,Vila das Aves,TRAIN,VIAVE_1,f98afd86-2741-4345-8857-c21c5fbdb04f,41.371188,-8.444801,16,STZ1
143,Vizela,TRAIN,VIZEL_1,8d0e4227-4d69-4dcd-82ea-f681bd64470d,41.382011,-8.299881,28,OUT
144,Lordelo,TRAIN,LORDE_2,8489bac0-cf84-4685-a237-79d2eb363103,41.401221,-8.279102,28,OUT
145,Giesteira,TRAIN,GIEST_2,384bc5e9-7b94-4d5d-8d0b-7e5dfde59268,41.414001,-8.28831,28,OUT
146,Cuca,TRAIN,CUCA_1,41494e8e-0869-4270-bba3-3191bcb8eb40,41.4243,-8.29221,28,OUT
147,Pereirinhas,TRAIN,PEREI_3,fea57d34-a9ed-426d-8f56-a750cad7a456,41.432111,-8.297881,28,OUT
148,Nespereira,TRAIN,NESPE_1,9c5052d9-6ff4-4c58-9154-21f720bd534b,41.428521,-8.280001,28,OUT
149,Covas,TRAIN,COVAS_1,bd89a2f3-1b71-429c-9875-f633bd0e13b8,41.4392,-8.288911,28,OUT
150,GuimarÃ£es,TRAIN,GUIMA_1,2c286fa6-4eae-4f6b-8513-1f6d29c1fb6d,41.441921,-8.295588,28,OUT
151,Leandro,TRAIN,LEAND_1,20735da7-8372-4a98-800b-f9b6626e45bd,41.241532,-8.554211,7,MAI3
152,SÃ£o Frutuoso,TRAIN,FRUTU_1,60b0d029-28c8-4416-9857-5090dbf0de0e,41.255121,-8.557003,7,MAI3
153,Palmilheira,TRAIN,PALMI_2,a21a08d1-e5df-4cb0-85fc-d8db5067fea3,41.225001,-8.564555,20,VLG1
154,SÃ£o Martinho do Campo,TRAIN,MACAM_1,4905c594-6bd0-4221-8ade-befb4df3d7c4,41.231331,-8.519991,21,VLG2
155,Valongo,TRAIN,VALON_3,cc7c1baf-9dd6-4c9e-adf9-97aae43b0846,41.190018,-8.500283,21,VLG2
156,Recarei-Sobreira,TRAIN,RESOB_1,661defa1-82f7-42dd-8125-1d11937ab2aa,41.165321,-8.451322,11,PRD1
157,CÃªte,TRAIN,CETE_1,fa34b1b4-c101-4f38-b80e-1c2dd905c3ef,41.187559,-8.376188,28,OUT
158,Terronhas,TRAIN,TERRO_1,133a3c1d-e3ba-4c5f-8d44-f3a8803e1a4c,41.197003,-8.358871,28,OUT
159,Trancoso,TRAIN,TRANC_1,0ac816ac-e7bb-4cfd-92e0-27ff0fa38352,41.205221,-8.342198,28,OUT
160,Parada,TRAIN,PARAD_2,c8e70f37-f53d-4cd5-bfea-3b9bda2da38a,41.211001,-8.330119,28,OUT
161,Paredes,TRAIN,PARED_1,f9b1465a-71bf-4479-a9a0-88fc7da23474,41.206512,-8.330308,28,OUT
162,Oleiros,TRAIN,OLEIR_1,7eef8387-9c87-4f2d-aefd-fff3c8584da6,41.216001,-8.310502,28,OUT
163,Bustelo,TRAIN,BUSTE_1,5ed3f992-a72d-4aac-a946-1f32a437afbf,41.220821,-8.302911,28,OUT
164,Recesinhos,TRAIN,RECES_1,c6ecdb5f-ca20-4a5a-b9ea-113229784fa2,41.2158,-8.270501,28,OUT
165,Irivo,TRAIN,IRIVO_1,740035ce-ce6f-4a20-91fc-5d1752bff013,41.214301,-8.276011,28,OUT
166,Penafiel,TRAIN,PENAF_1,55723366-94c7-4818-b6fb-89d30cdd5f88,41.217468,-8.295021,28,OUT
167,CaÃ­de,TRAIN,CAIDE_1,737fea0f-4670-4e35-a623-2fd8e0a1679d,41.2622,-8.280811,28,OUT
168,Meinedo,TRAIN,MEINE_1,df91e3f9-0bd3-4adf-82fa-7e20419433c5,41.268311,-8.265533,28,OUT
169,Vila MeÃ£,TRAIN,VIMEA_1,3ad7a4af-b4b2-49a8-922f-f062787f323e,41.245011,-8.158203,28,OUT
170,Oliveira,TRAIN,OLIVE_2,d5f1247a-aaf3-4661-ac9a-aec13147a61b,41.239552,-8.140112,28,OUT
171,LivraÃ§Ã£o,TRAIN,LIVRA_1,50bcba7c-bc97-489c-a782-95a03d50e0e1,41.2131,-8.155988,28,OUT
172,Marco de Canaveses,TRAIN,MACAN_1,3f6bb6c3-1b3b-445d-92a5-930d652ddb9e,41.186201,-8.141812,28,OUT
173,Altos,BUS,ALTOS_1,f82f9c83-3675-496a-8193-9842c03be1d5,41.236911,-8.612831,5,MAI1
174,Dr.domingos Bontempo,BUS,DOBON_2,37363d21-64a9-4716-8c36-f9d2a8e01d25,41.204901,-8.638055,5,MAI1
175,1Âº De Dezembro,BUS,1ODEZ_1,17873eb4-b3bd-4ec0-9d2b-daabd685eb57,41.184142,-8.691343,9,MTS1
176,1Âº De Maio,BUS,1OMAI_1,0170b75a-25b1-4a18-b88e-05759e257737,41.210644,-8.595622,8,MAI4
177,25 De Abril (Gondomar),BUS,25ABR_1,c1bbb7e6-3ddc-4ab0-a7a2-d5bbd6080a34,41.144307,-8.532343,3,GDM1
178,25 De Abril (Valongo),BUS,25ABR_2,0ae7b88c-307d-4344-b17b-d16a24fb2ada,41.191822,-8.503289,20,VLG1
179,28 De Janeiro,BUS,28JAN_1,683cf8f1-777d-4248-aacb-863ebbd076d5,41.136968,-8.633244,23,VNG1
180,4 Caminhos,BUS,CAMIN_1,e85a9a38-e339-4d4f-96b1-a6d98b4f0920,41.206074,-8.528887,8,MAI4
181,5 De Outubro (Maia),BUS,OUTUB_1,d508184c-4d52-4f6a-9a18-de6cb9c3e0b6,41.225465,-8.609886,5,MAI1
182,5 De Outubro (Maia),BUS,OUTUB_2,066ed578-a40f-4d93-94d3-4ffd4d01ef2a,41.217896,-8.547116,8,MAI4
183,5 De Outubro (Maia),BUS,OUTUB_3,4e3c6b35-e57a-4b65-8580-7f9847f62f3b,41.199479,-8.584515,8,MAI4
184,9 De Agosto,BUS,AGOST_1,22262e69-2931-44e1-aa48-0e384741c2f7,41.211694,-8.532115,8,MAI4
185,A.santos (escolas),BUS,SANTO_1,ba1c454b-bd25-4f12-a2f9-edeb277c5223,41.09835,-8.623128,26,VNG4
186,Abel Salazar,BUS,ABSAL_1,2482b62e-a0b7-48b1-842c-2bb2346e4708,41.200057,-8.610393,5,MAI1
187,Abelheira,BUS,ABELH_1,13e20712-c947-4bfc-a91e-b0bc239052b5,41.206194,-8.665771,9,MTS1
188,Aeroporto,BUS,AEROP_2,9dd38819-a26a-4e6a-ac20-ed25f3e9cf4c,41.236983,-8.670087,19,VCD8
189,Afonso  Albuquerque,BUS,AFALB_1,e51620d2-dec5-46aa-9fc8-ef506de7ceae,41.158815,-8.662331,13,PRT2
190,Afonso Cordeiro,BUS,AFCOR_1,43099ba8-6fa0-4f67-b430-0676fa4342e4,41.178806,-8.684889,9,MTS1
191,Afonso Henriques,BUS,AFHEN_3,0a9f9a37-899d-4557-a768-cf0dbc9dcd1e,41.236263,-8.536594,21,VLG2
192,Agost. A. Sousa,BUS,AGSOU_1,3ca1a9d7-1a8d-4404-8bf7-9786af98d1cc,41.18775,-8.524917,3,GDM1
193,Agostinho A. Sousa,BUS,AGSOU_2,812a163a-ea09-4f00-9ccc-fd163affbf35,41.187253,-8.524949,3,GDM1
194,Agra,BUS,AGRA_1,a4ae6c76-8ac1-4c03-be13-6d26c16f78d6,41.212522,-8.594465,8,MAI4
195,Agramonte,BUS,AGRAM_1,749239b1-f9cc-4e91-af60-6f5eddc7bcd1,41.158825,-8.634473,12,PRT1
196,Agro,BUS,AGRO_1,f30cde6a-e660-4777-857b-dd2722630f8a,41.136168,-8.62568,23,VNG1
197,Aguiar Nogueira,BUS,AGNOG_1,f751681e-8392-49e9-9fc2-abafbe92a49a,41.185611,-8.486,20,VLG1
198,Aguim,BUS,AGUIM_1,d82f25ae-b48d-4e68-85a3-cdf054cd123b,41.10851,-8.636391,26,VNG4
199,Aki,BUS,AKI_1,9727ff90-c4b7-41ce-bc3b-7a052543d841,41.122152,-8.624944,23,VNG1
200,Alam. Cedro,BUS,ALCED_1,d7aad9d4-3a06-4ffa-8314-8555a5f0b3b0,41.10929,-8.60889,23,VNG1
201,Alambique,BUS,ALAMB_1,1fdc9d80-1c12-4620-b3fd-4897bceb2bf5,41.24899,-8.608785,7,MAI3
202,Alameda,BUS,ALAME_1,a082cbc4-3df1-40f7-a63c-8bc3353cb21b,41.141672,-8.59921,12,PRT1
203,Alameda Cedro,BUS,ALCED_2,3177b511-83bc-44da-8f36-483b7fa9c62d,41.10953,-8.60889,23,VNG1
204,Alameda Da Granja,BUS,ALGRA_1,0e8d3ec2-f849-4ad2-ab3c-5b914fae95df,41.205624,-8.56399,8,MAI4
205,Alameda Das Antas,BUS,ALANT_1,3fd7d01b-28f2-4a3e-9a6a-769a1578545a,41.162931,-8.585919,12,PRT1
206,Alberto Macedo,BUS,ALMAC_1,29b9749a-35fe-425a-911a-f19bde0d0d0f,41.16709,-8.654534,13,PRT2
