id,arrival_time,departure_time,sequence,stop_id,route_id
129_3040_6,18:45:29,18:45:29,6,3040,129
129_3495_7,18:48:17,18:48:17,7,3495,129
129_2539_8,18:49:33,18:49:33,8,2539,129
129_3883_9,18:51:09,18:51:09,9,3883,129
129_716_10,18:54:54,18:54:54,10,716,129
129_2083_11,18:55:57,18:55:57,11,2083,129
129_4060_12,18:58:05,18:58:05,12,4060,129
129_925_13,19:07:12,19:07:12,13,925,129
129_1486_14,19:09:22,19:09:22,14,1486,129
129_2665_15,19:15:46,19:15:46,15,2665,129
129_3673_16,19:18:39,19:18:39,16,3673,129
129_5036_17,19:20:14,19:20:14,17,5036,129
129_5038_18,19:22:19,19:22:19,18,5038,129
129_3492_19,19:24:04,19:24:04,19,3492,129
129_4000_20,19:25:04,19:25:04,20,4000,129
129_3049_21,19:26:32,19:26:32,21,3049,129
129_3262_22,19:28:06,19:28:06,22,3262,129
129_4043_23,19:29:19,19:29:19,23,4043,129
129_2022_24,19:32:56,19:32:56,24,2022,129
129_2575_25,19:34:21,19:34:21,25,2575,129
129_2314_26,19:37:21,19:37:21,26,2314,129
129_3931_27,19:39:19,19:39:19,27,3931,129
129_492_28,19:40:15,19:40:15,28,492,129
129_4376_29,19:41:47,19:41:47,29,4376,129
129_5034_30,19:45:09,19:45:09,30,5034,129
129_5037_31,19:49:41,19:49:41,31,5037,129
129_1732_32,19:49:53,19:49:53,32,1732,129
147C_3861_0,06:16:32,06:16:32,0,3861,147C
147C_1454_1,06:18:08,06:18:08,1,1454,147C
147C_2085_2,06:19:35,06:19:35,2,2085,147C
147C_2927_3,06:21:57,06:21:57,3,2927,147C
147C_1158_4,06:23:26,06:23:26,4,1158,147C
147C_712_5,06:25:43,06:25:43,5,712,147C
147C_4305_6,06:28:57,06:28:57,6,4305,147C
147C_4480_7,06:30:10,06:30:10,7,4480,147C
147C_997_8,06:31:21,06:31:21,8,997,147C
147C_916_9,06:33:19,06:33:19,9,916,147C
147C_3792_10,06:36:11,06:36:11,10,3792,147C
147C_534_11,06:40:29,06:40:29,11,534,147C
147C_4075_12,06:41:50,06:41:50,12,4075,147C
147C_3013_13,06:43:24,06:43:24,13,3013,147C
147C_4277_14,06:45:26,06:45:26,14,4277,147C
147C_2879_15,06:48:11,06:48:11,15,2879,147C
147C_2044_16,06:50:12,06:50:12,16,2044,147C
178A_2641_0,06:24:08,06:24:08,0,2641,178A
178A_3046_1,06:25:18,06:25:18,1,3046,178A
178A_284_2,06:26:26,06:26:26,2,284,178A
178A_814_3,06:27:35,06:27:35,3,814,178A
178A_2493_4,06:30:16,06:30:16,4,2493,178A
178A_3037_5,06:34:54,06:34:54,5,3037,178A
178A_4652_6,06:39:43,06:39:43,6,4652,178A
180A_2659_0,19:45:40,19:45:40,0,2659,180A
180A_3653_1,19:49:26,19:49:26,1,3653,180A
180A_4564_2,19:53:12,19:53:12,2,4564,180A
180A_1903_3,19:54:20,19:54:20,3,1903,180A
180A_3967_4,19:59:01,19:59:01,4,3967,180A
180A_3834_5,20:01:16,20:01:16,5,3834,180A
180A_4553_6,20:04:59,20:04:59,6,4553,180A
180A_4693_7,20:12:27,20:12:27,7,4693,180A
180A_1072_8,20:13:48,20:13:48,8,1072,180A
180A_458_9,20:15:47,20:15:47,9,458,180A
180A_4064_10,20:17:49,20:17:49,10,4064,180A
180A_4785_11,20:20:13,20:20:13,11,4785,180A
180A_2704_12,20:24:28,20:24:28,12,2704,180A
265A_4339_0,17:54:13,17:54:13,0,4339,265A
265A_2670_1,17:55:58,17:55:58,1,2670,265A
265A_1500_2,17:57:04,17:57:04,2,1500,265A
265A_2208_3,17:59:38,17:59:38,3,2208,265A
265A_2496_4,18:00:58,18:00:58,4,2496,265A
265A_105_5,18:02:25,18:02:25,5,105,265A
265A_909_6,18:03:51,18:03:51,6,909,265A
265A_1681_7,18:05:34,18:05:34,7,1681,265A
265A_4211_8,18:07:08,18:07:08,8,4211,265A
265A_1036_9,18:08:43,18:08:43,9,1036,265A
265A_1384_10,18:09:37,18:09:37,10,1384,265A
265A_1476_11,18:10:54,18:10:54,11,1476,265A
265A_3919_12,18:12:05,18:12:05,12,3919,265A
265A_3289_13,18:13:33,18:13:33,13,3289,265A
265A_3441_14,18:14:14,18:14:14,14,3441,265A
70A_141_0,23:18:36,23:18:36,0,141,70A
70A_929_1,23:22:31,23:22:31,1,929,70A
70A_922_2,23:27:25,23:27:25,2,922,70A
70A_3225_3,23:29:00,23:29:00,3,3225,70A
70A_1848_4,23:29:55,23:29:55,4,1848,70A
70A_966_5,23:31:20,23:31:20,5,966,70A
70A_4100_6,23:38:34,23:38:34,6,4100,70A
70A_3932_7,23:39:17,23:39:17,7,3932,70A
70A_2895_8,23:43:37,23:43:37,8,2895,70A
SER_006c_2931_0,20:38:05,20:38:05,0,2931,SER_006c
SER_006c_1978_1,20:40:35,20:40:35,1,1978,SER_006c
SER_006c_1595_2,20:43:01,20:43:01,2,1595,SER_006c
SER_006c_2585_3,20:45:31,20:45:31,3,2585,SER_006c
SER_006c_1519_4,20:47:14,20:47:14,4,1519,SER_006c
SER_006c_2445_5,20:50:04,20:50:04,5,2445,SER_006c
SER_006c_3232_6,20:50:58,20:50:58,6,3232,SER_006c
SER_006c_2159_7,20:51:49,20:51:49,7,2159,SER_006c
SER_006c_1196_8,20:54:04,20:54:04,8,1196,SER_006c
SER_006c_1962_9,20:54:32,20:54:32,9,1962,SER_006c
SER_006c_4220_10,20:55:18,20:55:18,10,4220,SER_006c
SER_006c_2648_11,20:56:41,20:56:41,11,2648,SER_006c
SER_006c_3150_12,20:59:40,20:59:40,12,3150,SER_006c
SER_006c_3971_13,21:01:21,21:01:21,13,3971,SER_006c
SER_006c_548_14,21:02:56,21:02:56,14,548,SER_006c
SER_006c_4077_15,21:04:04,21:04:04,15,4077,SER_006c
SER_006c_3480_16,21:05:07,21:05:07,16,3480,SER_006c
SER_006c_4763_17,21:06:16,21:06:16,17,4763,SER_006c
SER_006c_493_18,21:06:54,21:06:54,18,493,SER_006c
SER_006c_4586_19,21:08:46,21:08:46,19,4586,SER_006c
SER_006c_4797_20,21:10:02,21:10:02,20,4797,SER_006c
SER_006c_41_21,21:12:34,21:12:34,21,41,SER_006c
SER_006c_2738_22,21:13:32,21:13:32,22,2738,SER_006c
SER_006c_1329_23,21:16:16,21:16:16,23,1329,SER_006c
SER_006c_3319_24,21:18:17,21:18:17,24,3319,SER_006c
SER_006c_744_25,21:21:42,21:21:42,25,744,SER_006c
SER_006c_1349_26,21:24:00,21:24:00,26,1349,SER_006c
SER_006c_2206_27,21:26:53,21:26:53,27,2206,SER_006c
SER_006c_1160_28,21:27:53,21:27:53,28,1160,SER_006c
SER_006c_984_29,21:29:07,21:29:07,29,984,SER_006c
SER_006c_4796_30,21:31:35,21:31:35,30,4796,SER_006c
SER_006c_2197_31,21:32:12,21:32:12,31,2197,SER_006c
SER_006c_4588_32,21:34:41,21:34:41,32,4588,SER_006c
SER_006c_4298_33,21:37:04,21:37:04,33,4298,SER_006c
SER_006c_414_34,21:37:59,21:37:59,34,414,SER_006c
SER_006c_1006_35,21:39:08,21:39:08,35,1006,SER_006c
SER_006c_3111_36,21:40:25,21:40:25,36,3111,SER_006c
SER_006c_4088_37,21:43:42,21:43:42,37,4088,SER_006c
SER_006c_1583_38,21:44:50,21:44:50,38,1583,SER_006c
SER_006c_3663_39,21:45:20,21:45:20,39,3663,SER_006c
SER_006c_2388_40,21:46:22,21:46:22,40,2388,SER_006c
SER_006c_517_41,21:46:24,21:46:24,41,517,SER_006c
SER_006c_2707_42,21:47:15,21:47:15,42,2707,SER_006c
SER_006c_3669_43,21:47:45,21:47:45,43,3669,SER_006c
SER_006c_4337_44,21:48:51,21:48:51,44,4337,SER_006c
SER_006c_1240_45,21:49:51,21:49:51,45,1240,SER_006c
SER_006c_1101_46,21:51:04,21:51:04,46,1101,SER_006c
SER_006c_154_47,21:52:13,21:52:13,47,154,SER_006c
SER_006c_1220_48,21:52:16,21:52:16,48,1220,SER_006c
SER_006c_3686_49,21:54:13,21:54:13,49,3686,SER_006c
SER_006c_5062_50,21:56:54,21:56:54,50,5062,SER_006c
SER_006c_1398_51,21:57:39,21:57:39,51,1398,SER_006c
SER_006c_2491_52,21:58:57,21:58:57,52,2491,SER_006c
SER_006c_4190_53,22:00:12,22:00:12,53,4190,SER_006c
SER_006c_1906_54,22:01:56,22:01:56,54,1906,SER_006c
SER_006c_4094_55,22:03:19,22:03:19,55,4094,SER_006c
SER_006c_3800_56,22:05:17,22:05:17,56,3800,SER_006c
SER_006c_116_57,22:08:01,22:08:01,57,116,SER_006c
SER_006c_422_58,22:09:09,22:09:09,58,422,SER_006c
SER_006c_4426_59,22:11:33,22:11:33,59,4426,SER_006c
SER_006c_2933_60,22:21:49,22:21:49,60,2933,SER_006c
SER_006c_958_61,22:37:23,22:37:23,61,958,SER_006c
SER_006c_4005_62,22:41:40,22:41:40,62,4005,SER_006c
SER_00be_2977_0,07:52:12,07:52:12,0,2977,SER_00be
SER_00be_817_1,07:52:15,07:52:15,1,817,SER_00be
SER_00be_777_2,07:54:50,07:54:50,2,777,SER_00be
SER_00be_3851_3,07:55:49,07:55:49,3,3851,SER_00be
SER_00be_659_4,07:57:52,07:57:52,4,659,SER_00be
SER_00be_2581_5,07:58:44,07:58:44,5,2581,SER_00be
SER_00be_1302_6,08:00:10,08:00:10,6,1302,SER_00be
SER_00be_3063_7,08:01:09,08:01:09,7,3063,SER_00be
SER_00be_86_8,08:02:26,08:02:26,8,86,SER_00be
SER_00be_1882_9,08:04:45,08:04:45,9,1882,SER_00be
SER_00be_4616_10,08:08:14,08:08:14,10,4616,SER_00be
SER_00be_4455_11,08:17:35,08:17:35,11,4455,SER_00be
SER_00be_4939_12,08:48:13,08:48:13,12,4939,SER_00be
SER_00be_926_13,08:53:09,08:53:09,13,926,SER_00be
SER_00be_2016_14,08:53:15,08:53:15,14,2016,SER_00be
SER_00be_4457_15,08:58:36,08:58:36,15,4457,SER_00be
SER_01d5_3165_0,06:43:50,06:43:50,0,3165,SER_01d5
SER_01d5_2158_1,06:49:00,06:49:00,1,2158,SER_01d5
SER_01d5_4304_2,06:50:43,06:50:43,2,4304,SER_01d5
SER_01d5_4150_3,07:44:52,07:44:52,3,4150,SER_01d5
SER_01d5_3742_4,07:54:10,07:54:10,4,3742,SER_01d5
SER_01d5_363_5,08:19:32,08:19:32,5,363,SER_01d5
SER_01d5_1990_6,08:28:14,08:28:14,6,1990,SER_01d5
SER_01d5_805_7,08:54:38,08:54:38,7,805,SER_01d5
SER_01d5_2517_8,17:07:22,17:07:22,8,2517,SER_01d5
SER_01d5_3264_9,17:11:04,17:11:04,9,3264,SER_01d5
SER_01d5_3670_10,17:12:04,17:12:04,10,3670,SER_01d5
SER_01d5_2641_11,17:12:53,17:12:53,11,2641,SER_01d5
SER_01d5_3046_12,17:15:00,17:15:00,12,3046,SER_01d5
SER_01d5_284_13,17:16:38,17:16:38,13,284,SER_01d5
SER_01d5_814_14,17:18:26,17:18:26,14,814,SER_01d5
SER_01d5_2493_15,17:20:41,17:20:41,15,2493,SER_01d5
SER_01d5_2779_16,17:22:31,17:22:31,16,2779,SER_01d5
SER_01d5_892_17,17:23:36,17:23:36,17,892,SER_01d5
SER_01d5_3037_18,17:24:21,17:24:21,18,3037,SER_01d5
SER_01d5_4652_19,17:28:06,17:28:06,19,4652,SER_01d5
SER_01d5_1514_20,17:31:52,17:31:52,20,1514,SER_01d5
SER_01d5_1726_21,17:32:48,17:32:48,21,1726,SER_01d5
SER_01d5_3027_22,17:33:48,17:33:48,22,3027,SER_01d5
SER_01d5_4269_23,17:34:48,17:34:48,23,4269,SER_01d5
SER_01d5_3914_24,17:36:04,17:36:04,24,3914,SER_01d5
SER_01d5_4317_25,17:37:52,17:37:52,25,4317,SER_01d5
SER_01d5_442_26,17:38:38,17:38:38,26,442,SER_01d5
SER_01d5_3372_27,17:40:06,17:40:06,27,3372,SER_01d5
SER_01d5_3784_28,17:42:10,17:42:10,28,3784,SER_01d5
SER_01d5_3295_29,17:42:58,17:42:58,29,3295,SER_01d5
SER_01d5_3949_30,17:44:37,17:44:37,30,3949,SER_01d5
SER_01d5_1525_31,17:47:20,17:47:20,31,1525,SER_01d5
SER_01d5_240_32,17:49:07,17:49:07,32,240,SER_01d5
SER_01d5_3844_33,17:50:10,17:50:10,33,3844,SER_01d5
SER_01d5_4713_34,17:51:59,17:51:59,34,4713,SER_01d5
SER_01d5_4129_35,17:52:40,17:52:40,35,4129,SER_01d5
SER_01d5_4619_36,17:53:35,17:53:35,36,4619,SER_01d5
SER_01d5_2806_37,17:55:21,17:55:21,37,2806,SER_01d5
SER_01d5_169_38,17:56:08,17:56:08,38,169,SER_01d5
SER_01d5_4420_39,17:57:53,17:57:53,39,4420,SER_01d5
SER_01d5_57_40,18:01:09,18:01:09,40,57,SER_01d5
SER_01d5_1683_41,18:02:55,18:02:55,41,1683,SER_01d5
SER_01d5_2524_42,18:06:29,18:06:29,42,2524,SER_01d5
SER_01d5_1969_43,18:09:40,18:09:40,43,1969,SER_01d5
SER_01d5_1629_44,18:10:32,18:10:32,44,1629,SER_01d5
SER_01d5_635_45,18:13:43,18:13:43,45,635,SER_01d5
SER_01d5_3298_46,18:16:28,18:16:28,46,3298,SER_01d5
SER_01d5_620_47,18:17:42,18:17:42,47,620,SER_01d5
SER_01d5_1607_48,18:20:08,18:20:08,48,1607,SER_01d5
SER_01d5_4085_49,18:21:45,18:21:45,49,4085,SER_01d5
SER_01d5_2901_50,18:24:04,18:24:04,50,2901,SER_01d5
SER_01d5_901_51,18:26:16,18:26:16,51,901,SER_01d5
SER_01d5_590_52,18:27:15,18:27:15,52,590,SER_01d5
SER_01d5_4550_53,18:28:01,18:28:01,53,4550,SER_01d5
SER_01d5_1717_54,18:30:29,18:30:29,54,1717,SER_01d5
SER_01d5_4529_55,18:31:44,18:31:44,55,4529,SER_01d5
SER_01d5_230_56,18:34:20,18:34:20,56,230,SER_01d5
SER_01d5_2040_57,18:35:10,18:35:10,57,2040,SER_01d5
SER_01d5_2631_58,18:37:05,18:37:05,58,2631,SER_01d5
SER_01d5_1704_59,18:40:24,18:40:24,59,1704,SER_01d5
SER_01d5_2824_60,18:41:28,18:41:28,60,2824,SER_01d5
SER_01d5_1871_61,18:42:52,18:42:52,61,1871,SER_01d5
SER_01d5_643_62,18:43:44,18:43:44,62,643,SER_01d5
SER_01d5_3223_63,18:44:25,18:44:25,63,3223,SER_01d5
SER_01d5_330_64,18:46:46,18:46:46,64,330,SER_01d5
SER_01d5_2427_65,18:48:27,18:48:27,65,2427,SER_01d5
SER_01d5_2659_66,18:56:12,18:56:12,66,2659,SER_01d5
SER_01d5_3179_67,19:03:50,19:03:50,67,3179,SER_01d5
SER_01d5_2701_68,19:14:09,19:14:09,68,2701,SER_01d5
SER_0209_3786_0,00:00:25,00:00:25,0,3786,SER_0209
SER_0209_4339_1,05:42:00,05:42:00,1,4339,SER_0209
SER_0209_2014_2,05:45:40,05:45:40,2,2014,SER_0209
SER_0209_3509_3,05:46:38,05:46:38,3,3509,SER_0209
SER_0209_2774_4,05:47:19,05:47:19,4,2774,SER_0209
SER_0209_2753_5,05:52:46,05:52:46,5,2753,SER_0209
SER_0209_272_6,05:54:36,05:54:36,6,272,SER_0209
SER_0209_3232_7,05:57:57,05:57:57,7,3232,SER_0209
SER_0209_2159_8,06:00:05,06:00:05,8,2159,SER_0209
SER_0209_5105_10,06:02:06,06:02:06,10,5105,SER_0209
SER_0209_2436_11,06:03:38,06:03:38,11,2436,SER_0209
SER_0209_2302_12,06:04:19,06:04:19,12,2302,SER_0209
SER_0209_4279_13,06:05:27,06:05:27,13,4279,SER_0209
SER_0209_1079_14,06:06:16,06:06:16,14,1079,SER_0209
SER_0209_1938_15,06:07:15,06:07:15,15,1938,SER_0209
SER_0209_1334_16,06:08:02,06:08:02,16,1334,SER_0209
SER_0209_2154_17,06:08:59,06:08:59,17,2154,SER_0209
SER_0209_583_18,06:09:56,06:09:56,18,583,SER_0209
SER_0209_5106_19,06:10:59,06:10:59,19,5106,SER_0209
SER_0209_833_20,06:14:56,06:14:56,20,833,SER_0209
SER_0209_3929_21,06:16:29,06:16:29,21,3929,SER_0209
SER_0209_3370_22,06:18:32,06:18:32,22,3370,SER_0209
SER_0209_1801_23,06:20:36,06:20:36,23,1801,SER_0209
SER_0209_1805_24,06:22:11,06:22:11,24,1805,SER_0209
SER_0209_1535_25,06:23:13,06:23:13,25,1535,SER_0209
SER_0209_2543_26,06:25:59,06:25:59,26,2543,SER_0209
SER_0209_160_27,06:27:03,06:27:03,27,160,SER_0209
SER_0209_2600_28,06:28:35,06:28:35,28,2600,SER_0209
SER_0209_217_29,06:30:00,06:30:00,29,217,SER_0209
SER_0209_394_30,06:30:44,06:30:44,30,394,SER_0209
SER_0209_2687_31,06:34:23,06:34:23,31,2687,SER_0209
SER_0209_2715_32,06:58:22,06:58:22,32,2715,SER_0209
SER_0209_4675_33,23:00:07,23:00:07,33,4675,SER_0209
SER_0209_3969_34,23:22:43,23:22:43,34,3969,SER_0209
SER_0209_503_35,23:27:38,23:27:38,35,503,SER_0209
SER_0209_2356_36,23:33:35,23:33:35,36,2356,SER_0209
SER_025a_2316_0,07:08:54,07:08:54,0,2316,SER_025a
SER_025a_969_1,07:10:55,07:10:55,1,969,SER_025a
SER_025a_827_2,07:12:10,07:12:10,2,827,SER_025a
SER_025a_4782_3,07:13:26,07:13:26,3,4782,SER_025a
SER_025a_254_4,07:14:35,07:14:35,4,254,SER_025a
SER_025a_4525_5,07:16:57,07:16:57,5,4525,SER_025a
SER_025a_4030_6,07:17:43,07:17:43,6,4030,SER_025a
SER_025a_1488_7,07:20:42,07:20:42,7,1488,SER_025a
SER_025a_1833_8,07:23:07,07:23:07,8,1833,SER_025a
SER_025a_3056_9,07:25:10,07:25:10,9,3056,SER_025a
SER_025a_266_10,07:26:47,07:26:47,10,266,SER_025a
SER_025a_1309_11,07:28:28,07:28:28,11,1309,SER_025a
SER_025a_134_12,07:32:05,07:32:05,12,134,SER_025a
SER_025a_3291_13,07:40:33,07:40:33,13,3291,SER_025a
SER_025a_2118_14,08:23:59,08:23:59,14,2118,SER_025a
SER_025a_993_15,08:27:03,08:27:03,15,993,SER_025a
SER_025a_1478_16,08:32:05,08:32:05,16,1478,SER_025a
SER_025a_3429_17,08:33:10,08:33:10,17,3429,SER_025a
SER_025a_3205_18,08:36:15,08:36:15,18,3205,SER_025a
SER_025a_304_19,08:37:50,08:37:50,19,304,SER_025a
SER_025a_1446_20,08:39:53,08:39:53,20,1446,SER_025a
SER_025a_2828_21,08:42:16,08:42:16,21,2828,SER_025a
SER_025a_759_22,08:48:41,08:48:41,22,759,SER_025a
SER_025a_1558_23,08:50:36,08:50:36,23,1558,SER_025a
SER_025a_3381_24,08:52:58,08:52:58,24,3381,SER_025a
SER_02d2_1318_0,06:34:01,06:34:01,0,1318,SER_02d2
SER_02d2_1508_1,06:36:50,06:36:50,1,1508,SER_02d2
SER_02d2_3942_2,06:39:44,06:39:44,2,3942,SER_02d2
SER_02d2_4477_3,06:42:29,06:42:29,3,4477,SER_02d2
SER_02d2_2551_4,06:43:23,06:43:23,4,2551,SER_02d2
SER_02d2_4494_5,06:46:50,06:46:50,5,4494,SER_02d2
SER_02d2_3481_6,06:48:04,06:48:04,6,3481,SER_02d2
SER_02d2_4332_7,06:49:53,06:49:53,7,4332,SER_02d2
SER_02d2_1131_8,06:52:02,06:52:02,8,1131,SER_02d2
SER_02d2_2494_9,06:54:38,06:54:38,9,2494,SER_02d2
SER_02d2_2616_10,06:56:31,06:56:31,10,2616,SER_02d2
SER_02d2_234_11,06:57:47,06:57:47,11,234,SER_02d2
SER_02d2_603_12,06:59:55,06:59:55,12,603,SER_02d2
SER_02d2_3089_13,07:02:16,07:02:16,13,3089,SER_02d2
SER_02d2_2272_14,07:04:02,07:04:02,14,2272,SER_02d2
SER_02d2_2394_15,07:04:49,07:04:49,15,2394,SER_02d2
SER_02d2_2931_16,07:06:07,07:06:07,16,2931,SER_02d2
SER_02d2_2330_17,07:09:24,07:09:24,17,2330,SER_02d2
SER_02d2_4158_18,07:11:31,07:11:31,18,4158,SER_02d2
SER_02d2_341_19,07:12:27,07:12:27,19,341,SER_02d2
SER_02d2_537_20,07:13:23,07:13:23,20,537,SER_02d2
SER_02d2_2909_21,07:14:47,07:14:47,21,2909,SER_02d2
SER_02d2_4751_22,07:16:53,07:16:53,22,4751,SER_02d2
SER_02d2_4601_23,07:17:57,07:17:57,23,4601,SER_02d2
SER_02d2_4657_24,07:19:10,07:19:10,24,4657,SER_02d2
SER_02d2_185_25,07:20:15,07:20:15,25,185,SER_02d2
SER_02d2_3470_26,07:22:11,07:22:11,26,3470,SER_02d2
SER_02d2_2275_27,07:25:20,07:25:20,27,2275,SER_02d2
SER_02d2_1917_28,07:27:30,07:27:30,28,1917,SER_02d2
SER_02d2_4057_29,07:29:56,07:29:56,29,4057,SER_02d2
SER_02d2_1280_30,07:30:19,07:30:19,30,1280,SER_02d2
SER_02d2_1099_31,07:34:04,07:34:04,31,1099,SER_02d2
SER_02d2_519_32,07:36:09,07:36:09,32,519,SER_02d2
SER_02d2_3859_33,07:37:00,07:37:00,33,3859,SER_02d2
SER_02d2_3777_34,07:39:09,07:39:09,34,3777,SER_02d2
SER_02d2_2600_35,07:40:31,07:40:31,35,2600,SER_02d2
SER_02d2_217_36,07:42:01,07:42:01,36,217,SER_02d2
SER_02d2_394_37,07:43:35,07:43:35,37,394,SER_02d2
SER_02d2_4470_38,07:44:58,07:44:58,38,4470,SER_02d2
SER_02d2_3786_39,07:45:44,07:45:44,39,3786,SER_02d2
SER_02d2_3445_40,07:47:45,07:47:45,40,3445,SER_02d2
SER_02d2_2687_41,07:51:18,07:51:18,41,2687,SER_02d2
SER_02d2_3440_42,07:53:02,07:53:02,42,3440,SER_02d2
SER_02d2_4492_43,07:53:59,07:53:59,43,4492,SER_02d2
SER_02d2_122_44,07:55:47,07:55:47,44,122,SER_02d2
SER_02d2_2584_45,07:56:29,07:56:29,45,2584,SER_02d2
SER_02d2_4267_46,08:02:29,08:02:29,46,4267,SER_02d2
SER_02d2_4431_47,08:04:33,08:04:33,47,4431,SER_02d2
SER_02d2_3988_48,08:05:36,08:05:36,48,3988,SER_02d2
SER_02d2_3029_49,08:06:21,08:06:21,49,3029,SER_02d2
SER_02d2_2845_50,08:06:55,08:06:55,50,2845,SER_02d2
SER_02d2_40_51,08:09:09,08:09:09,51,40,SER_02d2
SER_02d2_3966_52,08:10:26,08:10:26,52,3966,SER_02d2
SER_02d2_1751_53,08:11:57,08:11:57,53,1751,SER_02d2
SER_02d2_1679_54,08:13:04,08:13:04,54,1679,SER_02d2
SER_02d2_378_55,08:15:22,08:15:22,55,378,SER_02d2
SER_02d2_1046_56,08:17:23,08:17:23,56,1046,SER_02d2
SER_02d2_4656_57,08:19:22,08:19:22,57,4656,SER_02d2
SER_02d2_3424_58,08:20:24,08:20:24,58,3424,SER_02d2
SER_02d2_3189_59,08:21:51,08:21:51,59,3189,SER_02d2
SER_02d2_465_60,08:24:18,08:24:18,60,465,SER_02d2
SER_02d2_1989_61,08:25:41,08:25:41,61,1989,SER_02d2
SER_02d2_2861_62,08:26:57,08:26:57,62,2861,SER_02d2
SER_02d2_3835_63,08:27:29,08:27:29,63,3835,SER_02d2
SER_02d2_1350_64,08:29:49,08:29:49,64,1350,SER_02d2
SER_02d2_3800_65,08:32:13,08:32:13,65,3800,SER_02d2
SER_02d2_1319_66,08:33:56,08:33:56,66,1319,SER_02d2
SER_02d2_3512_67,08:34:38,08:34:38,67,3512,SER_02d2
SER_02d2_1667_68,08:36:31,08:36:31,68,1667,SER_02d2
SER_02d2_2123_69,08:37:46,08:37:46,69,2123,SER_02d2
SER_02d2_1596_70,08:40:17,08:40:17,70,1596,SER_02d2
SER_02d2_4054_71,08:41:53,08:41:53,71,4054,SER_02d2
SER_02d2_3379_72,08:43:23,08:43:23,72,3379,SER_02d2
SER_02d2_1997_73,08:45:37,08:45:37,73,1997,SER_02d2
SER_02d2_4145_74,08:47:55,08:47:55,74,4145,SER_02d2
SER_02d2_3774_75,08:49:13,08:49:13,75,3774,SER_02d2
SER_02d2_1315_76,08:50:51,08:50:51,76,1315,SER_02d2
SER_02d2_4490_77,08:54:08,08:54:08,77,4490,SER_02d2
SER_02d2_3892_78,08:56:38,08:56:38,78,3892,SER_02d2
SER_02d2_241_79,08:59:18,08:59:18,79,241,SER_02d2
SER_02d2_1229_80,18:48:14,18:48:14,80,1229,SER_02d2
SER_02d2_588_81,19:19:17,19:19:17,81,588,SER_02d2
SER_02f9_2205_0,12:08:12,12:08:12,0,2205,SER_02f9
SER_02f9_308_1,12:09:19,12:09:19,1,308,SER_02f9
SER_02f9_416_2,12:10:50,12:10:50,2,416,SER_02f9
SER_02f9_572_3,12:11:50,12:11:50,3,572,SER_02f9
SER_02f9_1223_4,12:13:34,12:13:34,4,1223,SER_02f9
SER_02f9_2080_5,12:14:21,12:14:21,5,2080,SER_02f9
SER_02f9_2133_6,12:16:07,12:16:07,6,2133,SER_02f9
SER_02f9_4528_7,12:17:04,12:17:04,7,4528,SER_02f9
SER_02f9_5060_8,12:17:58,12:17:58,8,5060,SER_02f9
SER_02f9_4709_9,12:18:50,12:18:50,9,4709,SER_02f9
SER_02f9_700_10,12:19:50,12:19:50,10,700,SER_02f9
SER_02f9_4105_11,12:20:54,12:20:54,11,4105,SER_02f9
SER_02f9_346_12,12:22:16,12:22:16,12,346,SER_02f9
